State,Year,Deaths,Population,CrudeRate,AgeAdjustedRate,benchM
Alabama,BT1999N2013,6666,69445175,9.6,9.8,NA
Alaska,BT1999N2013,1388,10143890,13.7,13.4,NA
Arizona,BT1999N2013,13375,88700771,15.1,15.6,NA
Arkansas,BT1999N2013,4228,42182566,10,10.4,NA
California,BT1999N2013,55812,540534729,10.3,10.3,NA
Colorado,BT1999N2013,9551,71167162,13.4,13.1,NA
Connecticut,BT1999N2013,5954,52664285,11.3,11.3,NA
Delaware,BT1999N2013,1599,12808945,12.5,12.6,NA
District of Columbia,BT1999N2013,1378,8809366,15.6,15.8,NA
Florida,BT1999N2013,37065,267493637,13.9,14,NA
Georgia,BT1999N2013,12648,136482144,9.3,9.2,NA
Hawaii,BT1999N2013,1907,19540664,9.8,9.5,NA
Idaho,BT1999N2013,2108,21836348,9.7,10.1,NA
Illinois,BT1999N2013,18412,189888912,9.7,9.7,NA
Indiana,BT1999N2013,10548,94822801,11.1,11.3,NA
Iowa,BT1999N2013,2640,44875003,5.9,6,NA
Kansas,BT1999N2013,3715,41676843,8.9,9.2,NA
Kentucky,BT1999N2013,10465,63231138,16.6,16.6,NA
Louisiana,BT1999N2013,9067,67495888,13.4,13.7,NA
Maine,BT1999N2013,2129,19687172,10.8,10.8,NA
Maryland,BT1999N2013,11287,84113004,13.4,13.1,NA
Massachusetts,BT1999N2013,12747,97021774,13.1,12.9,NA
Michigan,BT1999N2013,20670,149414648,13.8,13.8,NA
Minnesota,BT1999N2013,5411,77402858,7,6.9,NA
Mississippi,BT1999N2013,4035,43709856,9.2,9.6,NA
Missouri,BT1999N2013,10380,87401664,11.9,12.1,NA
Montana,BT1999N2013,1695,14293786,11.9,12,NA
Nebraska,BT1999N2013,1562,26671882,5.9,5.9,NA
Nevada,BT1999N2013,6852,36667345,18.7,18.4,NA
New Hampshire,BT1999N2013,2143,19382637,11.1,10.8,1
New Jersey,BT1999N2013,13203,129890427,10.2,10.1,NA
New Mexico,BT1999N2013,6107,29339682,20.8,21.4,NA
New York,BT1999N2013,24018,288381091,8.3,8.1,NA
North Carolina,BT1999N2013,14779,133802396,11,11,NA
North Dakota,BT1999N2013,364,9897625,3.7,3.7,NA
Ohio,BT1999N2013,21635,172056702,12.6,12.6,NA
Oklahoma,BT1999N2013,8131,54245937,15,15.3,NA
Oregon,BT1999N2013,7374,55029741,13.4,13.1,NA
Pennsylvania,BT1999N2013,25998,187746721,13.8,14.1,NA
Rhode Island,BT1999N2013,2298,15860427,14.5,14.4,NA
South Carolina,BT1999N2013,7180,65514833,11,10.9,NA
South Dakota,BT1999N2013,612,11830206,5.2,5.4,NA
Tennessee,BT1999N2013,13066,91143976,14.3,14.3,NA
Texas,BT1999N2013,31776,351253065,9,9.2,NA
Utah,BT1999N2013,6431,38111586,16.9,18.6,NA
Vermont,BT1999N2013,974,9300322,10.5,10.3,NA
Virginia,BT1999N2013,9500,114711639,8.3,8.1,NA
Washington,BT1999N2013,13156,95799814,13.7,13.4,NA
West Virginia,BT1999N2013,5289,27444387,19.3,19.8,NA
Wisconsin,BT1999N2013,8132,83454287,9.7,9.7,NA
Wyoming,BT1999N2013,898,7961243,11.3,11.3,NA
United States,BT1999N2013,508358,4472343000,11.4,11.3,2
Alabama,BT2014N2016,2465,14571656,16.9,17.3,NA
Alaska,BT2014N2016,392,2217058,17.7,17.4,NA
Arizona,BT2014N2016,4125,20490620,20.1,20.4,NA
Arkansas,BT2014N2016,1225,8932821,13.7,14.3,NA
California,BT2014N2016,14935,117197335,12.7,12.1,NA
Colorado,BT2014N2016,2783,16352985,17,16.5,NA
Connecticut,BT2014N2016,2463,10764015,22.9,23,NA
Delaware,BT2014N2016,700,2833613,24.7,25.6,NA
District of Columbia,BT2014N2016,512,2012291,25.4,25,NA
Florida,BT2014N2016,11144,60777008,18.3,18.7,NA
Georgia,BT2014N2016,4099,30622574,13.4,13.3,NA
Hawaii,BT2014N2016,556,4279721,13,12.5,NA
Idaho,BT2014N2016,702,4972534,14.1,14.9,NA
Illinois,BT2014N2016,6063,38542114,15.7,15.6,NA
Indiana,BT2014N2016,4117,19849588,20.7,21.5,NA
Iowa,BT2014N2016,943,9365718,10.1,10.4,NA
Kansas,BT2014N2016,1031,8722951,11.8,12.2,NA
Kentucky,BT2014N2016,3985,13275523,30,31.1,NA
Louisiana,BT2014N2016,2747,14002066,19.6,20.1,NA
Maine,BT2014N2016,874,3990896,21.9,23.2,NA
Maryland,BT2014N2016,4504,17999255,25,24.4,NA
Massachusetts,BT2014N2016,5632,20351609,27.7,27.8,NA
Michigan,BT2014N2016,7065,29760753,23.7,24.3,NA
Minnesota,BT2014N2016,1989,16466719,12.1,12,NA
Mississippi,BT2014N2016,1104,8975138,12.3,12.8,NA
Missouri,BT2014N2016,3623,18240261,19.9,20.5,NA
Montana,BT2014N2016,433,3099048,14,14.3,NA
Nebraska,BT2014N2016,425,5684809,7.5,7.7,NA
Nevada,BT2014N2016,1862,8670002,21.5,20.5,NA
New Hampshire,BT2014N2016,1276,3992216,32,34.2,1
New Jersey,BT2014N2016,4941,26840657,18.4,18.5,NA
New Mexico,BT2014N2016,1600,6251696,25.6,26.7,NA
New York,BT2014N2016,9413,59287307,15.9,15.4,NA
North Carolina,BT2014N2016,5111,30133554,17,17.2,NA
North Dakota,BT2014N2016,199,2254361,8.8,9.2,NA
Ohio,BT2014N2016,10727,34821959,30.8,32.2,NA
Oklahoma,BT2014N2016,2400,11712950,20.5,21,NA
Oregon,BT2014N2016,1877,12092681,15.5,14.7,NA
Pennsylvania,BT2014N2016,10967,38373939,28.6,29.5,NA
Rhode Island,BT2014N2016,901,3167897,28.4,28,NA
South Carolina,BT2014N2016,2446,14689747,16.7,16.8,NA
South Dakota,BT2014N2016,217,2577098,8.4,9,NA
Tennessee,BT2014N2016,4616,19800845,23.3,23.4,NA
Texas,BT2014N2016,8424,82288668,10.2,10.2,NA
Utah,BT2014N2016,1969,8990038,21.9,23.8,NA
Vermont,BT2014N2016,332,1877198,17.7,19,NA
Virginia,BT2014N2016,3516,25121090,14,13.9,NA
Washington,BT2014N2016,3459,21519881,16.1,15.5,NA
West Virginia,BT2014N2016,2308,5525556,41.8,44.3,NA
Wisconsin,BT2014N2016,2871,17307609,16.6,17,NA
Wyoming,BT2014N2016,314,1755761,17.9,18.4,NA
United States,BT2014N2016,172382,963403389,17.9,17.9,2
